,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM
,index_price,mark_price,best_bid,best_ask,funding_rate
datetime,,,,,
2025-11-16 12:35:55,,,139.296,139.297,
2025-11-16 12:35:56,,,139.296,139.297,
2025-11-16 12:35:57,,,139.296,139.297,
2025-11-16 12:35:58,,,139.296,139.297,
2025-11-16 12:35:59,,,139.296,139.297,
2025-11-16 12:36:00,,,139.2801,139.2811,8.8e-05
2025-11-16 12:36:01,139.284,139.281,139.27349999999998,139.27450000000002,
2025-11-16 12:36:02,139.285,139.28,139.287,139.288,
2025-11-16 12:36:03,139.287,139.287,139.2756,139.27659999999997,
2025-11-16 12:36:04,139.286,139.28,139.24470000000002,139.2457,
2025-11-16 12:36:05,139.256,139.261,139.21769999999998,139.21869999999998,
2025-11-16 12:36:06,139.216,139.21,139.2235,139.22449999999998,
2025-11-16 12:36:07,139.227,139.222,139.229,139.23,
2025-11-16 12:36:08,139.231,139.226,139.229,139.23,
2025-11-16 12:36:09,139.23,139.225,139.2271,139.22809999999998,
2025-11-16 12:36:10,139.229,139.228,139.204,139.205,
2025-11-16 12:36:11,139.216,139.221,139.198,139.199,
2025-11-16 12:36:12,139.212,139.217,139.198,139.199,
2025-11-16 12:36:13,139.203,139.198,139.191,139.19199999999998,
2025-11-16 12:36:14,139.196,139.19,139.168,139.169,
2025-11-16 12:36:15,139.173,139.167,139.168,139.169,
2025-11-16 12:36:16,139.174,139.168,139.16080000000002,139.16180000000003,
2025-11-16 12:36:17,,,139.153,139.154,
2025-11-16 12:36:18,139.158,139.156,139.13309999999998,139.1341,
2025-11-16 12:36:19,139.133,139.13,139.1228,139.1239,
2025-11-16 12:36:20,139.134,139.128,139.1285,139.1295,
2025-11-16 12:36:21,139.142,139.143,139.1589,139.1599,
2025-11-16 12:36:22,139.171,139.165,139.1548,139.1558,
2025-11-16 12:36:23,139.157,139.159,139.159,139.16,
2025-11-16 12:36:24,139.169,139.163,139.14939999999999,139.1504,
2025-11-16 12:36:25,139.159,139.154,139.143,139.144,
2025-11-16 12:36:26,139.155,139.149,139.1455,139.1465,
2025-11-16 12:36:27,139.153,139.147,139.14839999999998,139.1498,
2025-11-16 12:36:28,139.15,139.144,139.1816,139.1826,
2025-11-16 12:36:29,139.199,139.193,139.204,139.20499999999998,
2025-11-16 12:36:30,139.209,139.203,139.2032,139.20420000000001,
2025-11-16 12:36:31,139.21,139.205,139.209,139.21,
2025-11-16 12:36:32,139.216,139.21,139.197,139.198,
2025-11-16 12:36:33,139.212,139.206,139.1986,139.2004,
2025-11-16 12:36:34,139.204,139.198,139.2222,139.2232,
2025-11-16 12:36:35,139.232,139.237,139.2776,139.2786,
2025-11-16 12:36:36,139.286,139.28,139.27675,139.27775,
2025-11-16 12:36:37,,,,,
2025-11-16 12:36:38,,,,,
2025-11-16 12:36:39,,,,,
2025-11-16 12:36:40,,,,,
2025-11-16 12:36:41,,,,,
2025-11-16 12:36:42,,,,,
2025-11-16 12:36:43,,,,,
2025-11-16 12:36:44,,,,,
2025-11-16 12:36:45,,,,,
2025-11-16 12:36:46,,,,,
2025-11-16 12:36:47,,,,,
2025-11-16 12:36:48,,,,,
2025-11-16 12:36:49,,,,,
2025-11-16 12:36:50,,,,,
2025-11-16 12:36:51,,,,,
2025-11-16 12:36:52,,,,,
2025-11-16 12:36:53,,,,,
2025-11-16 12:36:54,,,,,
2025-11-16 12:36:55,,,,,
2025-11-16 12:36:56,,,,,
2025-11-16 12:36:57,,,,,
2025-11-16 12:36:58,,,,,
2025-11-16 12:36:59,,,,,
2025-11-16 12:37:00,,,,,
2025-11-16 12:37:01,,,,,
2025-11-16 12:37:02,,,,,
2025-11-16 12:37:03,,,,,
2025-11-16 12:37:04,,,,,
2025-11-16 12:37:05,,,,,
2025-11-16 12:37:06,,,,,
2025-11-16 12:37:07,,,,,
2025-11-16 12:37:08,,,,,
2025-11-16 12:37:09,,,,,
2025-11-16 12:37:10,,,,,
2025-11-16 12:37:11,,,,,
2025-11-16 12:37:12,,,,,
2025-11-16 12:37:13,,,,,
2025-11-16 12:37:14,,,,,
2025-11-16 12:37:15,,,,,
2025-11-16 12:37:16,,,,,
2025-11-16 12:37:17,,,,,
2025-11-16 12:37:18,,,,,
2025-11-16 12:37:19,,,,,
2025-11-16 12:37:20,,,,,
2025-11-16 12:37:21,,,,,
2025-11-16 12:37:22,,,,,
2025-11-16 12:37:23,,,,,
2025-11-16 12:37:24,,,,,
2025-11-16 12:37:25,,,,,
2025-11-16 12:37:26,,,,,
2025-11-16 12:37:27,,,,,
2025-11-16 12:37:28,,,,,
2025-11-16 12:37:29,,,,,
2025-11-16 12:37:30,,,,,
2025-11-16 12:37:31,,,,,
2025-11-16 12:37:32,,,,,
2025-11-16 12:37:33,,,,,
2025-11-16 12:37:34,,,,,
2025-11-16 12:37:35,,,,,
2025-11-16 12:37:36,,,,,
2025-11-16 12:37:37,,,,,
2025-11-16 12:37:38,,,,,
2025-11-16 12:37:39,,,,,
2025-11-16 12:37:40,,,,,
2025-11-16 12:37:41,,,,,
2025-11-16 12:37:42,,,,,
2025-11-16 12:37:43,,,,,
2025-11-16 12:37:44,,,,,
2025-11-16 12:37:45,,,,,
2025-11-16 12:37:46,,,,,
2025-11-16 12:37:47,,,,,
2025-11-16 12:37:48,,,,,
2025-11-16 12:37:49,,,,,
2025-11-16 12:37:50,,,,,
2025-11-16 12:37:51,,,,,
2025-11-16 12:37:52,,,,,
2025-11-16 12:37:53,,,,,
2025-11-16 12:37:54,,,,,
2025-11-16 12:37:55,,,,,
2025-11-16 12:37:56,,,,,
2025-11-16 12:37:57,,,,,
2025-11-16 12:37:58,,,,,
2025-11-16 12:37:59,,,,,
2025-11-16 12:38:00,,,,,
2025-11-16 12:38:01,,,,,
2025-11-16 12:38:02,,,,,
2025-11-16 12:38:03,,,,,
2025-11-16 12:38:04,,,,,
2025-11-16 12:38:05,,,,,
2025-11-16 12:38:06,,,,,
2025-11-16 12:38:07,,,,,
2025-11-16 12:38:08,,,,,
2025-11-16 12:38:09,,,,,
2025-11-16 12:38:10,,,,,
2025-11-16 12:38:11,,,,,
2025-11-16 12:38:12,,,,,
2025-11-16 12:38:13,,,,,
2025-11-16 12:38:14,,,,,
2025-11-16 12:38:15,,,,,
2025-11-16 12:38:16,,,,,
2025-11-16 12:38:17,,,,,
2025-11-16 12:38:18,,,,,
2025-11-16 12:38:19,,,,,
2025-11-16 12:38:20,,,,,
2025-11-16 12:38:21,,,,,
2025-11-16 12:38:22,,,,,
2025-11-16 12:38:23,,,,,
2025-11-16 12:38:24,,,,,
2025-11-16 12:38:25,,,,,
2025-11-16 12:38:26,,,,,
2025-11-16 12:38:27,,,,,
2025-11-16 12:38:28,,,,,
2025-11-16 12:38:29,,,,,
2025-11-16 12:38:30,,,,,
2025-11-16 12:38:31,,,,,
2025-11-16 12:38:32,,,,,
2025-11-16 12:38:33,,,,,
2025-11-16 12:38:34,,,,,
2025-11-16 12:38:35,,,,,
2025-11-16 12:38:36,,,,,
2025-11-16 12:38:37,,,,,
2025-11-16 12:38:38,,,,,
2025-11-16 12:38:39,,,,,
2025-11-16 12:38:40,,,,,
2025-11-16 12:38:41,,,,,
2025-11-16 12:38:42,,,,,
2025-11-16 12:38:43,,,,,
2025-11-16 12:38:44,,,,,
2025-11-16 12:38:45,,,,,
2025-11-16 12:38:46,,,,,
2025-11-16 12:38:47,,,,,
2025-11-16 12:38:48,,,,,
2025-11-16 12:38:49,,,,,
2025-11-16 12:38:50,,,,,
2025-11-16 12:38:51,,,,,
2025-11-16 12:38:52,,,,,
2025-11-16 12:38:53,,,,,
2025-11-16 12:38:54,,,,,
2025-11-16 12:38:55,,,,,
2025-11-16 12:38:56,,,,,
2025-11-16 12:38:57,,,,,
2025-11-16 12:38:58,,,,,
2025-11-16 12:38:59,,,,,
2025-11-16 12:39:00,,,,,
2025-11-16 12:39:01,,,,,
2025-11-16 12:39:02,,,,,
2025-11-16 12:39:03,,,,,
2025-11-16 12:39:04,,,,,
2025-11-16 12:39:05,,,,,
2025-11-16 12:39:06,,,,,
2025-11-16 12:39:07,,,,,
2025-11-16 12:39:08,,,,,
2025-11-16 12:39:09,,,,,
2025-11-16 12:39:10,,,,,
2025-11-16 12:39:11,,,,,
2025-11-16 12:39:12,,,,,
2025-11-16 12:39:13,,,,,
2025-11-16 12:39:14,,,,,
2025-11-16 12:39:15,,,,,
2025-11-16 12:39:16,,,,,
2025-11-16 12:39:17,,,,,
2025-11-16 12:39:18,,,,,
2025-11-16 12:39:19,,,,,
2025-11-16 12:39:20,,,,,
2025-11-16 12:39:21,,,,,
2025-11-16 12:39:22,,,,,
2025-11-16 12:39:23,,,,,
2025-11-16 12:39:24,,,,,
2025-11-16 12:39:25,,,,,
2025-11-16 12:39:26,,,,,
2025-11-16 12:39:27,,,,,
2025-11-16 12:39:28,,,,,
2025-11-16 12:39:29,,,,,
2025-11-16 12:39:30,,,,,
2025-11-16 12:39:31,,,,,
2025-11-16 12:39:32,,,,,
2025-11-16 12:39:33,,,,,
2025-11-16 12:39:34,,,,,
2025-11-16 12:39:35,,,,,
2025-11-16 12:39:36,,,,,
2025-11-16 12:39:37,,,,,
2025-11-16 12:39:38,,,,,
2025-11-16 12:39:39,,,,,
2025-11-16 12:39:40,,,,,
2025-11-16 12:39:41,,,,,
2025-11-16 12:39:42,,,,,
2025-11-16 12:39:43,,,,,
2025-11-16 12:39:44,,,,,
2025-11-16 12:39:45,,,,,
2025-11-16 12:39:46,,,,,
2025-11-16 12:39:47,,,,,
2025-11-16 12:39:48,,,,,
2025-11-16 12:39:49,,,,,
2025-11-16 12:39:50,,,,,
2025-11-16 12:39:51,,,,,
2025-11-16 12:39:52,,,,,
2025-11-16 12:39:53,,,,,
2025-11-16 12:39:54,,,,,
2025-11-16 12:39:55,,,,,
2025-11-16 12:39:56,,,,,
2025-11-16 12:39:57,,,,,
2025-11-16 12:39:58,,,,,
2025-11-16 12:39:59,,,,,
2025-11-16 12:40:00,,,,,
2025-11-16 12:40:01,,,,,
2025-11-16 12:40:02,,,,,
2025-11-16 12:40:03,,,,,
2025-11-16 12:40:04,,,,,
2025-11-16 12:40:05,,,,,
2025-11-16 12:40:06,,,,,
2025-11-16 12:40:07,,,,,
2025-11-16 12:40:08,,,,,
2025-11-16 12:40:09,,,,,
2025-11-16 12:40:10,,,,,
2025-11-16 12:40:11,,,,,
2025-11-16 12:40:12,,,,,
2025-11-16 12:40:13,,,,,
2025-11-16 12:40:14,,,,,
2025-11-16 12:40:15,,,,,
2025-11-16 12:40:16,,,,,
2025-11-16 12:40:17,,,,,
2025-11-16 12:40:18,,,,,
2025-11-16 12:40:19,,,,,
2025-11-16 12:40:20,,,,,
2025-11-16 12:40:21,,,,,
2025-11-16 12:40:22,,,,,
2025-11-16 12:40:23,,,,,
2025-11-16 12:40:24,,,,,
2025-11-16 12:40:25,,,,,
2025-11-16 12:40:26,,,,,
2025-11-16 12:40:27,,,,,
2025-11-16 12:40:28,,,,,
2025-11-16 12:40:29,,,,,
2025-11-16 12:40:30,,,,,
2025-11-16 12:40:31,,,,,
2025-11-16 12:40:32,,,,,
2025-11-16 12:40:33,,,,,
2025-11-16 12:40:34,,,,,
2025-11-16 12:40:35,,,,,
2025-11-16 12:40:36,,,,,
2025-11-16 12:40:37,,,,,
2025-11-16 12:40:38,,,,,
2025-11-16 12:40:39,,,,,
2025-11-16 12:40:40,,,,,
2025-11-16 12:40:41,,,,,
2025-11-16 12:40:42,,,,,
2025-11-16 12:40:43,,,,,
